Word,Count
title-题名,10
exploring,26
contemporary,4
challenges,11
public_administration,22
higher_education,2
deformation,1
democracy,8
united_states,5
bureaucratic,7
neutral,1
competence,2
rise,2
complicity,1
optimizing,1
global_governance,2
us,10
china,33
dynamics,6
interplay,3
conflict,7
cooperation,6
driving,1
innovation,20
efficiency,7
public,104
governance,33
denmark,2
meeting,2
global,22
mega,1
21st,1
century,1
andreas,1
hagedorn,1
krogh,1
annika,1
agger,1
peter,2
triantafillou,1
eds,12
bingley,1
uk,20
emerald,1
publishing,8
new,35
phd,1
build,1
better,8
graduate,1
education,14
leonard,1
cassuto,1
robert,1
weisbuch,1
baltimore,1
md,1
johns,1
hopkins,1
university,29
press,38
effective,6
strategies,13
normal,1
perfecto,1
g,2
aquino,1
jr,2
revenio,1
c,3
jalagat,1
singapore,2
springer,3
books,1
government,33
analytics,2
handbook,6
leveraging,4
data,13
strengthen,1
daniel,3
rogger,1
christian,1
schuster,1
washington,3
dc,2
world,9
bank,4
corporatisation,1
local_government,5
context,12
evidence,75
perspectives,8
19,16
countries,9
marieke,1
van,3
genugten,1
bart,1
voorn,1
rhys,1
andrews,1
ulf,1
papenfuß,1
harald,1
torsteinsen,1
cham,1
trust,15
collaboration,10
participation,6
nordic,2
perspective,21
administrators,2
perceptions,14
citizen_involvement,1
crisis,33
coordination,6
complex,7
intergovernmental,6
systems,16
case,45
australia,6
adaptive,2
organizational,30
network,13
response,12
five,1
european,22
airports,1
covid,16
pandemic,11
unethical,3
leadership,21
moral,4
compensation,5
ethical,3
followership,1
survey_experiment,7
chilean,1
public_servants,2
death,2
servant,3
rosemond,1
brisbane,1
limelight,1
state,28
empowerment,2
low,5
income,10
families,4
welfare_state,8
carolyn,1
barnes,1
ann,1
arbor,1
michigan,2
oxford,17
public_management,9
social,83
policy,151
karen,1
j,3
baehler,1
understanding,23
municipal,9
fiscal,13
health,23
model,12
local_governments,2
usa,2
craig,2
maher,2
sungho,2
park,2
bruce,3
mcdonald,3
iii,3
steven,3
deller,2
york,11
routledge,9
guardian,1
strengthening,1
public_service,19
democratic_backsliding,6
information,23
contributors,2
issue,17
american,3
society,5
code,2
ethics,3
celebrating,4
84,2
years,6
invisible,1
