Word,Count
policy,122
public,104
evidence,75
social,60
eu,53
performance,49
case,45
local,42
role,40
analysis,38
press,38
government,37
covid-19,37
service,36
new,35
china,33
political,32
crisis,31
governance,31
sector,30
state,30
organizational,30
university,29
public_sector,29
study,27
politics,27
exploring,26
information,26
effects,25
citizens,25
management,25
impact,23
support,23
policies,23
understanding,23
work,23
climate_change,22
regulation,22
european,22
isbn,22
global,22
public_administration,22
2022,22
national,21
uk,21
climate,21
approach,21
effect,21
perspective,21
research,20
health,20
leadership,20
among,19
services,19
job,19
digital,19
beyond,18
innovation,18
european_union,18
resilience,18
review,18
carbon,18
employment,17
institutional,17
issue,17
oxford,17
welfare,17
u,17
trust,16
regional,16
organizations,16
europe,16
covid,16
systems,15
19,15
employees,15
towards,15
governments,15
change,15
learning,15
design,14
relationship,14
climate_policy,14
trade,14
perceptions,14
risk,14
across,14
pandemic,14
economic,14
market,14
strategies,14
agency,14
education,14
insights,14
explaining,14
fiscal,13
protection,13
brexit,13
influence,13
public_organizations,13
data,13
private,13
germany,13
2023,13
model,12
systematic_review,12
response,12
00,12
development,12
affect,12
public_service,12
economy,12
adaptation,12
engagement,12
based,12
cambridge,12
making,12
collaborative,12
justice,12
outcomes,12
city,12
examining,12
care,12
context,12
eds,12
york,11
citizen,11
gender,11
use,11
energy,11
implementation,11
power,11
administrative,11
co-production,11
future,11
empirical,11
knowledge,11
satisfaction,11
introduction,11
street,11
equity,11
level,11
challenges,11
us,10
individual,10
workers,10
literature,10
servants,10
different,10
policy_integration,10
party,10
perceived,10
title-题名,10
experimental,10
collaboration,10
behavior,10
delivery,10
strategic,10
income,10
states,10
factors,10
effectiveness,10
regulatory,10
network,10
nonprofit,9
implications,9
determinants,9
impacts,9
using,9
resources,9
community,9
reform,9
responsibility,9
time,9
labor,9
human,9
institutions,9
times,9
rules,9
developing,9
lessons,9
england,9
framework,9
practices,9
control,9
people,9
politicisation,9
municipal,9
field,9
countries,9
world,9
public_management,9
system,9
responses,9
integration,9
emissions,9
routledge,9
artificial_intelligence,8
matters,8
better,8
preferences,8
program,8
matter,8
assessing,8
publishing,8
process,8
accountability,8
bristol,8
perspectives,8
managing,8
978,8
target,8
transparency,8
ed,8
relations,8
reforms,8
democracy,8
approaches,8
action,8
public_policy,8
public_service_motivation,8
regulations,8
insurance,8
value,7
promoting,7
access,7
mapping,7
introducing,7
gap,7
identity,7
integrating,7
complex,7
coordination,7
country,7
drivers,7
green,7
managers,7
networks,7
the_covid-19_pandemic,7
post-brexit,7
civil,7
ai,7
school,7
workplace,7
employee,7
pages,7
financial,7
problems,7
theory,7
actors,7
business,7
law,7
welfare_state,7
measures,7
healthcare,7
consequences,7
practice,7
status,7
discretion,7
policymaking,7
federal,7
roles,7
bureaucratic,7
the_european_commission,7
security,7
responsiveness,7
women,7
benefits,7
comparative,7
conflict,7
social_policy,7
systematic_literature_review,7
cooperation,7
elgar,7
efficiency,7
ideas,7
street-level,7
emotional,7
immigration,7
survey_experiment,7
effective,6
engaging,6
regulating,6
competition,6
right,6
environmental,6
source,6
emerging,6
history,6
africa,6
structural,6
professional,6
space,6
frontline,6
emergency,6
research_agenda,6
agencies,6
administration,6
gas,6
longitudinal,6
oil,6
prize,6
dynamics,6
building,6
setting,6
democratic_backsliding,6
edward,6
sustainability,6
growth,6
crises,6
1,6
experience,6
participation,6
governing,6
london,6
public_health,6
mediating,6
stability,6
solidarity,6
experiences,6
european_parliament,6
australia,6
adoption,6
policy-making,6
autonomy,6
years,6
volume,6
international,6
officers,6
long,6
handbook,6
stress,6
finance,6
intergovernmental,6
disaster,5
assessment,5
swedish,5
findings,5
reduce,5
framing,5
agenda,5
burdens,5
quality,5
experiment,5
investment,5
agent,5
domestic,5
colombia,5
strategy,5
relationships,5
electoral,5
instruments,5
police,5
bureaucrats,5
unemployment,5
representative_bureaucracy,5
special,5
four,5
funding,5
transformation,5
less,5
rethinking,5
resource,5
agriculture,5
hardback,5
paperback,5
uncertainty,5
nhs,5
representation,5
characteristics,5
99,5
english,5
editor,5
good,5
inclusive,5
theoretical,5
divided,5
monitoring,5
attitudes,5
related,5
inequality,5
food,5
planning,5
groups,5
capacities,5
external,5
2021,5
budgeting,5
reputational,5
policing,5
low,5
modes,5
trading,5
play,5
goals,5
internal,5
advancing,5
compensation,5
poland,5
transition,5
low-carbon,5
evolution,5
society,5
studies,5
parties,5
mobility,5
choice,5
chinese,5
want,5
public_values,5
cheltenham,5
corporate,5
vs,5
tax,5
nature,5
united_states,5
challenge,5
provision,5
social_investment,5
wellbeing,5
patterns,5
ireland,5
level_bureaucrats,4
unequal,4
linking,4
multilevel,4
evaluating,4
public_value,4
benefit,4
dimensions,4
clients,4
celebrating,4
populist,4
interest_groups,4
italian,4
lobbying,4
decisions,4
multiple,4
reputation,4
quo,4
group,4
incentives,4
costs,4
drives,4
budgets,4
collective,4
committee,4
road,4
contemporary,4
scotland,4
executive,4
pilot,4
canada,4
regulatory_security_state,4
back,4
public_services,4
assistance,4
designing,4
america,4
processes,4
evaluation,4
interest,4
qualitative_study,4
mitigation,4
conflicting,4
potential,4
welfare_states,4
labour,4
carbon_pricing,4
formation,4
stakeholder,4
washington,4
border,4
interlocal,4
130,4
region,4
tensions,4
disability,4
leveraging,4
guide,4
south,4
perception,4
mechanisms,4
enterprises,4
2020,4
regimes,4
german,4
entrepreneurship,4
era,4
inclusion,4
2019,4
ties,4
involvement,4
minority,4
age,4
sectors,4
conditions,4
vulnerability,4
labour_market,4
next,4
advocacy,4
climate_adaptation,4
boundary,4
emission,4
policy_change,4
moral,4
fuel,4
bank,4
two,4
complexity,4
inflation,4
affects,4
innovative,4
free_movement,4
survey,4
opposition,4
directions,4
governmental,4
families,4
search,4
everyday,4
self,4
know,4
counterpoint,4
issues,4
child,4
principles,4
british,4
correction,4
4875,4
racial,4
solutions,4
predictors,4
european_countries,4
long-term,4
college,4
achievement,4
home,4
post,4
divide,4
sweden,4
pressure,4
diffusion,4
transnational,4
australian,4
causes,4
subnational,4
within,4
panel_data,4
political_trust,4
mexico,4
decision,4
life,4
industry,4
recruitment,4
shape,4
network_governance,4
democratic,4
france,4
programs,4
technology,4
fund,4
corruption,4
dutch,4
investigating,4
leader,4
safety,4
demand,4
sense,4
motivations,4
leading,4
de,4
officials,4
politicization,3
zambia,3
behavioural,3
japan,3
demands-resources,3
india,3
contestation,3
b,3
critical,3
goal,3
training,3
hand,3
migration,3
firms,3
co-creation,3
reporting,3
compliance,3
just_transition,3
laws,3
california,3
differentiated,3
pay,3
voting,3
entrepreneurs,3
opportunities,3
supply_chain,3
east,3
address,3
policy_implementation,3
asia,3
integrated,3
contributions,3
point,3
varieties,3
limits,3
versus,3
teacher,3
systematic,3
departments,3
coastal,3
homelessness,3
construction,3
supranational,3
employer,3
cooperative,3
public_support,3
success,3
subjective,3
spending,3
burnout,3
first,3
smart,3
choices,3
municipalities,3
gaming,3
voluntary,3
foreign,3
air,3
5,3
working,3
ngos,3
politicians,3
classifying,3
new_public_management,3
belgium,3
higher,3
credit,3
outcome,3
window,3
motivated,3
communities,3
levels,3
diversity,3
methods,3
spaces,3
tape,3
pbk,3
lens,3
improving,3
stereotype,3
divergence,3
comparing,3
announcement,3
street-level_bureaucrats,3
co,3
ppp,3
public-private,3
un,3
debates,3
jpam,3
carbon_neutrality,3
hbk,3
debate,3
turn,3
controlled,3
values,3
collaborative_innovation,3
responsible,3
universal_credit,3
single,3
spain,3
jobs,3
view,3
treatment,3
climate_governance,3
l,3
for-profit,3
balance,3
outsourcing,3
agreement,3
moving,3
hardship,3
taxes,3
inquiry,3
manager,3
targeting,3
allowance,3
staff,3
three,3
cities,3
paris_agreement,3
typology,3
agents,3
automation,3
transfer,3
bias,3
test,3
of_legitimacy,3
parliamentary,3
minimum,3
inequalities,3
social_europe,3
make,3
influences,3
comparison,3
behaviour,3
bureaucracy,3
money,3
poverty,3
since,3
discrimination,3
improve,3
early,3
immigrants,3
net_zero,3
initiatives,3
housing,3
military,3
personnel,3
behind,3
economies,3
sciences,3
commitment,3
infrastructure,3
hospitals,3
evaluations,3
addressing,3
tools,3
rivlin,3
medicaid,3
psm,3
causal,3
great,3
influencing,3
europeanisation,3
innovations,3
text,3
greening,3
red,3
moderating,3
mainstream,3
principal,3
logics,3
cases,3
qualitative,3
economic_governance,3
populations,3
acceptance,3
testing,3
family_policy,3
sharing,3
eastern,3
western_europe,3
capture,3
shapes,3
citizenship,3
randomized,3
end,3
non-profit,3
poor,3
appraisal,3
solar,3
markets,3
decarbonization,3
complementary,3
carbon_emissions,3
aid,3
price,3
industrial,3
experiments,3
nationally,3
biodiversity,3
outside,3
unions,3
rights,3
creation,3
2005,3
contexts,3
flood,3
the_netherlands,3
act,3
asylum,3
reduction,3
children,3
agricultural,3
social_care,3
harm,3
hardcover,3
toronto,3
95,3
informal,3
ethical,3
limitations,3
ukraine,3
j,3
take,3
unethical,3
foundations,3
disasters,3
navigating,3
front,3
lines,3
indian,3
attractiveness,3
recovery,3
motivation,3
telework,3
urban,3
agreements,3
biases,3
danish,3
open,3
reports,3
young,3
united_kingdom,3
legacy,3
authority,3
avoiding,3
ready,3
leaders,3
narrative,3
interplay,3
spatial,3
capital,3
improvement,3
recommendations,3
bureaucrat,3
bureaucracies,3
civil_servants,3
servant,3
threat,3
participatory,3
consultants,3
lasswell,3
measurement,3
personal,3
virtual,3
science,3
environment,3
democracies,3
temporal,3
edition,3
cross,3
springer,3
american,3
van,3
race,3
capacity,3
uruguay,3
steven,3
contracting,3
mcdonald,3
bruce,3
disadvantaged,3
c,3
analyzing,3
ethics,3
iii,3
political_economy,3
korea,3
cognitive,3
advanced,3
daniel,3
local_authorities,2
shame,2
policy_response,2
expanding,2
green_bonds,2
outputs,2
partnerships,2
homeless,2
prosocial_impact,2
difference,2
work-family,2
industries,2
identities,2
methodological,2
legitimacy,2
gasoline,2
fuzzy-set,2
female,2
projects,2
comparative_study,2
density,2
nationalist,2
childcare,2
durability,2
workgroup,2
psychological,2
michigan,2
fix,2
decarbonizing,2
mandate,2
green_climate_fund,2
ghg,2
climate_finance,2
park,2
free,2
craig,2
sungho,2
influential,2
achieve,2
euroscepticism,2
streams,2
coproduction,2
pennsylvania,2
delegation,2
usa,2
thinking,2
jurisdictional,2
platforms,2
geographies,2
term,2
maher,2
geography,2
citizen_participation,2
developing_countries,2
safe,2
revisiting,2
practitioner,2
subsidy,2
political_discontent,2
digitalisation,2
organisational,2
academic,2
transfers,2
keep,2
differences,2
constraint,2
tradeoffs,2
gendered,2
decision-making,2
28,2
important,2
irish,2
ny,2
vulnerable,2
negative,2
constrained,2
without,2
government_performance,2
please,2
obstacles,2
monetary,2
non,2
international_organizations,2
eldercare,2
messages,2
ecosystem-based,2
promotion,2
models,2
snap,2
equitable,2
purpose,2
war,2
driven,2
political_parties,2
work_engagement,2
disaggregated,2
options,2
effort,2
norway,2
contracts,2
wages,2
harassment,2
supervisory,2
dc,2
e,2
central,2
mentoring,2
problem,2
fostering,2
employee_engagement,2
medical,2
configurational,2
courts,2
professionals,2
implementing,2
user,2
jersey,2
public_servants,2
water,2
opinion,2
megaprojects,2
difficult,2
organization,2
stabilization,2
renewable_energy,2
unlikely,2
family,2
recognition,2
ideological,2
empowerment,2
digital_transformation,2
applications,2
judicial_independence,2
targets,2
trial,2
cues,2
ecb,2
north,2
farmers,2
understandings,2
smoking,2
units,2
inclusiveness,2
nordic,2
administrators,2
offsets,2
green_central_banking,2
barriers,2
hungary,2
adaptive,2
contribution,2
spatially,2
panel,2
ideology,2
role_perceptions,2
details,2
media,2
bargaining,2
death,2
missing,2
vernon,2
financing,2
measuring,2
concepts,2
face,2
oil_and_gas,2
scenarios,2
evidence-based,2
due_diligence,2
human_rights,2
rural,2
demands,2
conditional_cash_transfers,2
pressures,2
south_korea,2
pathways,2
necessary,2
controversial,2
tool,2
french,2
supply_chains,2
members,2
devil,2
debt,2
revolving_door,2
need,2
shadow,2
embeddedness,2
coal-fired,2
indonesia,2
likely,2
83,2
teleworking,2
blue,2
initiative,2
cycles,2
nurture,2
phasing,2
promises,2
elizabeth,2
aversion,2
informality,2
2,2
meta-analysis,2
flexibility,2
posted,2
noncompliance,2
left,2
ambition,2
overlooked,2
paradigm,2
scientists,2
mandatory,2
litigation,2
bridging,2
extreme,2
pushing,2
enforcement,2
public_acceptance,2
nigeria,2
climate_risk,2
disruptive,2
packages,2
acceptability,2
emotions,2
output,2
synergies,2
narratives,2
vision,2
ongoing,2
plans,2
engage,2
nonparametric,2
global_south,2
legislation,2
normative,2
stakeholders,2
failed,2
mind,2
analytical,2
well-being,2
environmental_policy,2
foreign_corporate_accountability,2
area,2
exchange,2
claims,2
member,2
risks,2
slack,2
behaviors,2
simple,2
enemy,2
interactions,2
shaping,2
arrangements,2
possibilities,2
legalism,2
toll,2
eu_agencies,2
ecosystems,2
relief,2
code,2
mothers,2
birth,2
84,2
coalition,2
monthly,2
united,2
vaccination,2
jab,2
29,2
advance,2
dioxide,2
regulatory_governance,2
boys,2
vaccine,2
latin_america,2
timing,2
praxis,2
legislative,2
par,2
structures,2
individuals,2
richard,2
primary,2
multidimensional,2
independence,2
given,2
award,2
austerity,2
supplier,2
multi-level,2
notes,2
managerial,2
deller,2
contributors,2
small,2
works,2
agendas,2
technologies,2
adam,2
unfccc,2
determined,2
real-world,2
reducing,2
trends,2
multidimensionality,2
ii,2
personality,2
